decile,peak,alpha,loc,scale
0.1,peak,-,1.2178623325453113,0.12178623325453113
0.1,nonpeak,1.765,0.0,0.16386524822695037
0.2,peak,-,2.304096453900709,0.2304096453900709
0.2,nonpeak,1.765,0.0,0.3381205673758865
0.3,peak,-,4.180275413711584,0.4180275413711584
0.3,nonpeak,1.765,0.0,0.6630851063829787
0.4,peak,-,6.782704885736801,0.6782704885736801
0.4,nonpeak,1.765,0.0,1.135354609929078
0.5,peak,-,9.98395996847912,0.9983959968479119
0.5,nonpeak,1.765,0.0,1.616063829787234
0.6,peak,-,13.885063593380615,1.3885063593380615
0.6,nonpeak,1.765,0.0,2.1042198581560285
0.7,peak,-,18.90952143420016,1.8909521434200158
0.7,nonpeak,1.765,0.0,2.6567375886524824
0.8,peak,-,25.616492237982666,2.5616492237982667
0.8,nonpeak,1.765,0.0,3.416843971631206
0.9,peak,-,36.74025307328605,3.6740253073286047
0.9,nonpeak,1.765,0.0,4.762163120567376
1.0,peak,-,71.06549231678487,7.106549231678487
1.0,nonpeak,1.765,0.0,10.849716312056737
