app,u_g,s_g,u_0,s_0,w_0,u_1,s_1,w_1,u_2,s_2,w_2
Amazon,5.544867000896355,0.9662676320126008,5.059059059059059,0.0747414080747415,0.02083271764447772,6.26026026026026,0.25091758425091754,0.07059327387088218,-,-,-
Apple iCloud,5.711968358104128,1.02258075826921,5.027027027027027,0.19486152819486127,0.09773527231610893,-,-,-,-,-,-
Clash of Clans,5.0498618174600205,0.9327966853450887,5.523523523523524,0.05071738405071713,0.03088193457216916,5.803803803803804,0.03737070403737045,0.009352259410273664,5.075075075075075,0.040040040040040026,0.008273359600539288
Deezer,6.500834601381265,0.8126546914514584,6.588588588588588,0.058725392058725547,0.04308432217268363,6.924924924924925,0.096096096096096,0.031845438932547626,-,-,-
Facebook,5.7435269669681785,1.039717990935946,5.067067067067067,0.07207207207207222,0.017385682216603332,5.843843843843844,0.016016016016015655,0.0009056702301179081,-,-,-
Facebook Live,6.126158985879951,0.9299365246912492,5.6996996996997,0.0213546880213548,0.00137464131997583,5.45945945945946,0.018685352018685226,0.002410712378441933,5.907907907907908,0.01601601601601595,0.0010223463669205616
Facebook Messenger,3.7,0.9,5.019019019019019,0.09342676009342672,0.09458074665545838,-,-,-,-,-,-
Generic Clothes,5.962824699174735,0.9876131209969388,5.731731731731731,0.03737070403737105,0.014282307243555975,5.067067067067067,0.02669336002669335,0.0026918415584373497,-,-,-
Gmail,4.994211356561881,0.7495064817655123,5.051051051051051,0.0854187520854189,0.19012603639947875,5.347347347347347,0.05071738405071743,0.02476285242202396,-,-,-
Google Docs,5.195866827344614,1.0185990376048528,5.331331331331331,0.034701368034701474,0.057168132454856926,5.051051051051051,0.058725392058725547,0.05452670410966008,5.4994994994995,0.04537871204537858,0.009116399473263627
Google Maps,5.179458495708015,0.8264773466122218,5.131131131131131,0.02669336002669335,0.01936784074561109,5.307307307307307,0.024024024024024076,0.01828968403216395,5.7957957957957955,0.058725392058725547,0.02210513157971581
Google Meet,5.650189177688161,1.0389732115592698,5.027027027027027,0.07207207207207222,0.016691252077125292,6.596596596596597,0.07741074407741048,0.00589252137994477,-,-,-
Instagram (main),5.220649775527182,0.7286144808308204,5.371371371371371,0.0213546880213548,0.03241898294757366,5.6996996996997,0.08008008008008005,0.01953145854292937,-,-,-
Instagram (videos),6.3781583627577065,1.0438903904286827,-,-,-,-,-,-,-,-,-
LinkedIn,5.808086577717219,1.2322575404725118,5.067067067067067,0.040040040040040026,0.008841727153161205,-,-,-,-,-,-
Microsoft Mail,4.1,1.2,5.083083083083083,0.07741074407741078,0.0931261428335588,-,-,-,-,-,-
Netflix,6.5,0.85,7.613613613613613,0.0640640640640641,0.01380223230197283,8.31031031031031,0.4,0.0898764430784655,-,-,-
Pokemon GO,5.5,0.86,-,-,-,-,-,-,-,-,-
SnapChat,5.669384212768907,1.1258699174357556,-,-,-,-,-,-,-,-,-
Spotify,4.630047863822524,0.9964904056054956,5.323323323323324,0.04537871204537858,0.008049284107412074,5.1791791791791795,0.024024024024023777,0.0022562206521894055,-,-,-
Telegram,5.410898527292149,1.0531833091303016,5.043043043043043,0.024024024024024076,0.044219721226882905,5.163163163163163,0.045378712045378876,0.026332625425370362,5.403403403403404,0.0320320320320319,0.022724026184461045
Twitch,7.2,1.1,5.81981981981982,0.034701368034701474,0.010987438523066882,5.651651651651651,0.02402402402402437,0.006200526239678692,5.307307307307307,0.024024024024024076,0.004650390659404402
Twitter (main),5.484909168869878,0.9017450151902616,5.115115115115115,0.05605605605605627,0.018702606118236157,5.035035035035035,0.013346680013346676,0.007886063124558564,-,-,-
Twitter (videos),6.0018607723076185,0.9590057888765122,-,-,-,-,-,-,-,-,-
Uber,5.02806748985753,0.7283304334086498,5.099099099099099,0.04804804804804815,0.013136508709934736,5.443443443443444,0.040040040040040026,0.021540323624208265,-,-,-
Waze,5.161444261030589,0.8425487401406533,5.067067067067067,0.058725392058725547,0.05829030072369108,5.2992992992992995,0.0213546880213548,0.017719122010456057,5.387387387387387,0.029362696029362628,0.013628272125690854
WhatsApp,5.179347993054079,1.0576301550228502,5.4674674674674675,0.08274941608274933,0.024582982581037298,5.083083083083083,0.10944277610944268,0.0747962080302558,-,-,-
Wikipedia,5.217289640498155,0.636916302414559,5.411411411411411,0.0427093760427096,0.06326924273908521,5.275275275275275,0.02669336002669335,0.05796797166475006,5.091091091091091,0.0320320320320322,0.031114640068952426
Yahoo,5.331072517692435,0.8252655521224622,5.515515515515515,0.013346680013346676,0.02545883237637131,5.307307307307307,0.0320320320320322,0.019102295191085094,5.57957957957958,0.018685352018685226,0.008595666607133793
Youtube,5.132216043650851,0.7785542538289361,5.155155155155155,0.06673340006673338,0.06541872777257918,5.451451451451451,0.09075742409075775,0.02287840991498434,-,-,-
