app,sessions%,traffic%
Amazon,1.0626309892077066,0.4015616109673625
Apple iCloud,1.4991296400691794,11.23519370224616
Clash of Clans,0.1974517411095318,0.2251691010314472
Deezer,1.243534309262434,2.9357465049572893
Facebook,36.72693753080527,2.7512148179869858
Facebook Live,1.3591626155277197,18.03939905871361
Facebook Messenger,0.245732810950899,0.0262911413478263
Generic Clothes,0.8810038157671769,3.106288380999761
Gmail,0.5020854172339153,0.3769756180985119
Google Docs,0.0680389371159576,0.5694420555291161
Google Maps,2.673965804865609,0.1592020549011827
Google Meet,0.2402140493218816,1.9345022481026304
Instagram (main),13.3780770483262,0.0620114851142113
Instagram (videos),6.629046169035986,11.67174331452272
LinkedIn,0.4636310670476428,2.007050933984351
Microsoft Mail,0.1039241440625693,0.2766023623241746
Netflix,3.0151292345581204,14.213501516847678
Pokemon GO,0.0444380966489325,0.3278156925332417
SnapChat,17.80675994898767,0.6013820060979026
Spotify,1.1194831557565437,0.1018023193611831
Telegram,0.4492019487836001,2.475624535690315
Twitch,0.8839472333946528,13.237985047619285
Twitter (main),1.0744706779872726,0.4252929739274635
Twitter (videos),0.3190297258008376,10.539879790545228
Uber,0.0764127727890876,0.2880289700998805
Waze,1.5539547327286347,0.0642993255050554
WhatsApp,1.028294852769864,0.1181189812260191
Wikipedia,0.0644028466635228,0.4233522519879567
Yahoo,0.3373998564605766,0.7884343301127756
Youtube,4.952508826961007,0.6160878676186823
